Acton	93510	7	$467	-8.5%	1	$272	47.8%	$194
Agoura Hills	91301	11	$1,030	15.4%	14	$571	7.7%	$340
Alhambra	91801	9	$475	-17.8%	11	$414	7.5%	$416
Alhambra	91803	12	$515	11.8%	1	$483	46.1%	$416
Altadena	91001	40	$620	-1.2%	3	$1,100	n/a	$430
Arcadia	91006	32	$954	-19.7%	8	$775	2.4%	$627
Arcadia	91007	16	$1,372	10.2%	10	$612	28.0%	$585
Artesia	90701	5	$440	4.8%	n/a	n/a	n/a	$347
Avalon	90704	2	$539	-8.7%	n/a	n/a	n/a	$653
Azusa	91702	30	$350	7.7%	10	$273	12.6%	$272
Baldwin Pk	91706	28	$329	12.1%	5	$250	6.4%	$270
Bell/Cudahy	90201	10	$306	2.0%	4	$193	n/a	$218
Bellflower	90706	23	$414	16.6%	10	$247	-4.3%	$271
Beverly Hills	90210	22	$2,300	-53.1%	6	$838	15.4%	$655
Beverly Hills	90211	6	$1,625	7.3%	2	$677	-1.1%	$834
Beverly Hills	90212	1	n/a	n/a	4	$935	-37.9%	n/a
Burbank	91501	6	$652	-9.4%	9	$415	2.7%	$610
Burbank	91502	n/a	n/a	n/a	1	n/a	n/a	n/a
Burbank	91504	13	$735	11.4%	9	$400	15.9%	$449
Burbank	91505	23	$605	11.0%	2	$478	12.0%	$511
Burbank	91506	15	$573	0.5%	1	$475	-18.1%	$476
Calabasas	91302	21	$1,238	9.8%	25	$1,238	1.4%	$421
Canoga Park	91303	4	$390	-8.3%	1	$219	-1.8%	$250
Canoga Park	91304	26	$532	19.4%	11	$225	44.8%	$286
Canyon Ctry	91351	15	$400	9.6%	15	$385	1.3%	$278
Canyon Ctry	91387	23	$435	0.0%	28	$240	-0.4%	$212
Carson	90745	19	$403	20.5%	15	$255	15.9%	$275
Carson	90746	7	$477	23.6%	1	$317	49.2%	$250
Castaic	91384	24	$450	4.7%	6	$380	4.8%	$217
Cerritos	90703	44	$599	-4.5%	10	$335	15.5%	$359
Chatsworth	91311	31	$550	17.0%	21	$339	5.8%	$277
Claremont	91711	29	$575	0.2%	8	$401	9.9%	$314
Compton	90220	27	$266	33.1%	1	$223	39.9%	$214
Compton	90221	20	$280	17.9%	n/a	n/a	n/a	$234
Compton	90222	24	$223	1.1%	n/a	n/a	n/a	$206
Covina	91722	18	$409	18.6%	4	$278	-8.9%	$293
Covina	91723	13	$438	4.2%	3	$333	n/a	$308
Covina	91724	13	$472	0.7%	1	$310	18.8%	$283
Culver City	90230	7	$963	24.0%	19	$418	7.7%	$619
Culver City	90232	5	$831	-4.3%	3	$746	-10.2%	$736
Diamond Br	91765	35	$716	2.8%	13	$325	1.6%	$337
Downey	90240	19	$564	24.1%	3	$309	-11.7%	$300
Downey	90241	23	$465	0.5%	4	$355	3.5%	$319
Downey	90242	18	$387	3.4%	3	$265	18.6%	$292
Duarte	91010	21	$410	-1.2%	3	$360	48.8%	$326
El Monte	91731	6	$373	6.4%	n/a	n/a	n/a	$363
