Aliso Viejo	92656	25	$800	12.6%	61	$450	10.0%	$374
Anaheim	92801	24	$439	7.1%	10	$323	7.5%	$339
Anaheim	92802	12	$509	30.5%	3	$363	2.0%	$344
Anaheim	92804	39	$433	4.2%	9	$300	3.4%	$296
Anaheim	92805	23	$415	6.0%	5	$433	69.8%	$302
Anaheim	92806	21	$500	11.1%	n/a	n/a	n/a	$303
Anaheim Hls	92807	45	$619	7.1%	4	$304	10.4%	$334
Anaheim Hls	92808	18	$750	7.9%	13	$422	5.5%	$282
Balboa Islnd	92662	1	$2,330	-72.1%	n/a	n/a	n/a	$1,095
Brea	92821	30	$535	-4.0%	6	$310	-3.9%	$330
Brea	92823	6	$629	-14.5%	n/a	n/a	n/a	$340
Buena Park	90620	29	$476	14.5%	n/a	n/a	n/a	$357
Buena Park	90621	10	$388	-0.6%	5	$515	48.8%	$293
Capistrno B	92624	4	$715	-39.9%	2	$888	88.8%	$449
Corona d Mr	92625	22	$2,000	-8.5%	10	$1,460	48.2%	$1,227
Costa Mesa	92626	30	$627	3.0%	3	$395	1.3%	$379
Costa Mesa	92627	34	$715	-1.9%	8	$520	44.4%	$683
Cypress	90630	30	$530	7.9%	5	$415	23.0%	$337
Dana Point	92629	28	$961	9.9%	14	$475	-7.8%	$590
Foothill Rch	92610	8	$653	-7.2%	1	$260	-1.0%	n/a
Fountain Vly	92708	46	$660	4.1%	n/a	n/a	n/a	$349
Fullerton	92831	15	$670	18.0%	4	$327	16.6%	$339
Fullerton	92832	12	$421	-5.1%	3	$130	2.0%	$339
Fullerton	92833	46	$475	-8.7%	16	$430	19.4%	$344
Fullerton	92835	21	$805	14.7%	5	$255	0.0%	$364
Garden Grv	92840	22	$415	3.8%	9	$325	52.2%	$337
Garden Grv	92841	23	$479	6.3%	1	$370	37.0%	$351
Garden Grv	92843	15	$413	8.6%	3	$245	-9.3%	$325
Garden Grv	92844	11	$465	34.8%	4	$308	-8.5%	$313
Garden Grv	92845	12	$535	4.9%	1	$290	3.6%	$367
Huntingtn B	92646	45	$659	-6.6%	18	$370	-14.9%	$397
Huntingtn B	92647	41	$627	2.3%	5	$310	0.6%	$418
